t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6979217999999833,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6677318000000355,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.5302862000000005,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6547926999999959,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6489999000000012,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6677072999999837,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7042417999999998,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6636448000000087,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6739813000000027,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7033417000000327,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7158179000000132,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6924775000000182,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.647441399999957,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6345070000000078,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6969852999999603,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6854358000000161,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6844824000000017,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.724364399999979,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6848186999999598,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7282262000000174,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7015283000000295,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6816383000000542,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6065168999999969,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7327300000000264,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6354872000000228,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7374797999999828,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6613747999999987,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7476258999999686,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6824590000000171,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7008465000000342,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6761172000000443,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7859254999999848,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6926936999999725,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6754807000000028,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7515475999999467,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7072185999999988,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.661580199999969,0,0,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.710013099999992,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7237560000000031,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.6902903000000379,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7511907999999835,1,1,102,191108_152603,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,1,0,0,0.7093308999999636,1,1,102,191108_152603,0
