t_prep,initial,final
0.5,0,0
0.5,0,1
0.5,0,0
0.5,0,1
0.5,0,0
0.5,0,1
0.5,0,0
0.5,0,0
0.0667,0,1
0.5,0,0
0.1833,0,1
0.5,0,0
0.5,0,0
0.5,0,0
0.1167,0,1
0.5,0,0
0.5,0,0
0.1667,0,1
0.5,0,0
0.5,0,0
0.1,0,1
0.2833,0,1
0.5,0,0
0.5,0,0
0.1833,0,1
0.5,0,0
0.4833,0,1
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.1667,0,1
0.4167,0,1
0.5,0,0
0.5,0,0
0.15,0,1
0.5,0,0
0.5,0,0
0.1167,0,1
0.5,0,0
0.5,0,0
0.5,0,0
0.3,0,1
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.4667,0,1
0.5,0,0
0.5,0,0
0.1667,0,1
0.433,0,1
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.3167,0,1
0.05,0,1
0.3167,0,1
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.1333,0,1
0.5,0,0
0.15,0,1
0.5,0,0
0.2167,0,1
0.1667,0,1
0.5,0,0
0.3,0,1
0.4167,0,1
0.1333,0,1
0.4667,0,1
0.2,0,1
0.5,0,0
0.5,0,0
0.3167,0,1
0.2167,0,1
0.5,0,0
0.3667,0,1
0.5,0,0
0.5,0,0
0.2,0,1
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.2667,0,1
0.5,0,0
0.5,0,0
0.5,0,0
0.15,0,1
0.5,0,0
