t_prep,initial,final
0.5,1,1
0.5,1,0
0.5,1,1
0.5,1,0
0.5,1,1
0.5,1,0
0.5,1,1
0.5,1,1
0.31667,1,0
0.5,1,1
0.5,1,1
0.28333,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.33333,1,0
0.08333,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.2,1,0
0.3,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.46667,1,0
0.13333,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.26667,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.43333,1,0
0.5,1,1
0.43333,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.36667,1,0
0.48333,1,0
0.16667,1,0
0.5,1,1
0.1,1,0
0.5,1,1
0.06667,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.45,1,0
0.35,1,0
0.5,1,1
0.5,1,1
0.25,1,0
0.5,1,1
0.45,1,0
0.5,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.41667,1,0
0.5,1,0
0.5,1,1
0.5,1,1
0.38333,1,0
0.18333,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.05,1,0
0.23333,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.46667,1,0
0.5,1,1
0.5,1,1
0.48333,1,0
0.5,1,1
0.21667,1,0
0.11667,1,0
0.41667,1,0
0.5,1,1
0.5,1,1
0.15,1,0
0.5,1,1
0.4,1,0
0.5,1,1
